City,Latitude,Longitude,Region,Country,Nwind_speed,AirQuality,WaterPollution,RealWater,wind_speed,wind_direction
Nha Trang,12.2529152,109.1899018,Khanh Hoa,Vietnam,23.7,51.92307692,57.69230769,42.30769231,2.37,278
Mysore,12.2958104,76.6393805,Karnataka,India,35,51.5625,62.5,37.5,3.5,251
Bamako,12.6392316,-8.0028892,,Mali,30.9,15,62.5,37.5,3.09,230
Chennai,13.0826802,80.2707184,Tamil Nadu,India,41.2,35.88435374,73.07017544,26.92982456,4.12,230
Bridgetown,13.1059816,-59.6131741,Saint Michael,Barbados,108,90,15,85,10.8,100
Siem Reap,13.3632533,103.856403,Siem Reap Province,Cambodia,19.7,60,95,5,1.97,249
Banjul,13.454375,-16.5753186,,The Gambia,46.3,75,62.5,37.5,4.63,240
Niamey,13.5115963,2.1253854,,Niger,5.1,25,100,0,0.51,300
San Salvador,13.6929403,-89.2181911,San Salvador Department,El Salvador,41.2,18.42105263,76.5625,23.4375,4.12,0
Bangkok,13.7563309,100.5017651,,Thailand,24.7,26.85185185,70.83333333,29.16666667,2.47,257
Salvador,13.794185,-88.89653,Bahia,Brazil,13.2,83,51.31578947,48.68421053,1.32,197
Lipa,13.941876,121.1644198,,Philippines,6.8,87.5,25,75,0.68,310
Castries,14.0101094,-60.9874687,Castries Quarter,Saint Lucia,51.4,70.83333333,33.33333333,66.66666667,5.14,90
Tegucigalpa,14.065049,-87.1715002,Francisco Morazan Department,Honduras,22.4,22.61904762,88.46153846,11.53846154,2.24,220
Cabuyao,14.2471423,121.1366715,,Philippines,8.2,25,100,0,0.82,225
Muntinlupa,14.4081327,121.0414667,Metro Manila,Philippines,15.4,40.625,83.33333333,16.66666667,1.54,210
Las Pinas,14.444546,120.9938736,Metro Manila,Philippines,15.4,33.33333333,75,25,1.54,210
Pasay,14.5377516,121.0013794,Metro Manila,Philippines,15.4,25,100,0,1.54,210
Makati,14.554729,121.0244452,Metro Manila,Philippines,15.4,34.21052632,70.94594595,29.05405405,1.54,210
Pasig,14.5763768,121.0851097,Metro Manila,Philippines,15.4,27.94117647,82.69230769,17.30769231,1.54,210
Mandaluyong,14.5794443,121.0359174,Metro Manila,Philippines,15.4,12.5,82.5,17.5,1.54,210
Manila,14.5995124,120.9842195,Metro Manila,Philippines,15.4,17.01570681,83.7431694,16.2568306,1.54,210
Antipolo,14.6254827,121.1244847,,Philippines,15.4,60.29411765,75,25,1.54,210
Guatemala City,14.6349149,-90.5068824,Guatemala Department,Guatemala,20.6,39.28571429,69.53125,30.46875,2.06,180
Marikina,14.65073,121.1028546,Metro Manila,Philippines,15.4,83.33333333,66.66666667,33.33333333,1.54,210
Malabon,14.6680747,120.9658454,Metro Manila,Philippines,15.4,25,50,50,1.54,210
Quezon City,14.6760413,121.0437003,Metro Manila,Philippines,15.4,23.80952381,80.12820513,19.87179487,1.54,210
Valenzuela,14.7010556,120.9830225,Metro Manila,Philippines,22.4,48.68421053,88.15789474,11.84210526,2.24,34
Dakar,14.716677,-17.4676861,Dakar,Senegal,47.8,10.34482759,82,18,4.78,289
Caloocan,14.7565784,121.0449768,Metro Manila,Philippines,19.4,25,83.33333333,16.66666667,1.94,39
Hubli,15.3647083,75.1239547,Karnataka,India,15,26.78571429,69.44444444,30.55555556,1.5,330
Sanaa,15.3694451,44.1910066,,Yemen,14.2,41.66666667,91.66666667,8.333333333,1.42,29
Tarlac City,15.4754786,120.5963492,,Philippines,5.6,56.25,75,25,0.56,250
Khartoum,15.5006544,32.5598994,Khartoum,Sudan,26.4,42.85714286,78.125,21.875,2.64,114
Da Nang,16.0544563,108.0717219,,Vietnam,10.3,50,51.19047619,48.80952381,1.03,190
Baguio,16.4023332,120.5960071,Cordillera Administrative Region,Philippines,13.2,26.88679245,66.4893617,33.5106383,1.32,59
Yangon,16.840939,96.173526,Yangon Region,Myanmar,10.3,17.59259259,78.5,21.5,1.03,180
Jizan,16.8893586,42.5705674,Jazan Province,Saudi Arabia,0,25,100,0,0,0
Belmopan,17.2510114,-88.7590201,Cayo District,Belize,27.7,62.5,54.16666667,45.83333333,2.77,122
Gulbarga,17.329731,76.8342957,,India,22.8,33.92857143,76.92307692,23.07692308,2.28,231
Hyderabad,17.385044,78.486671,Telangana,India,41.2,31.49253731,70.10703364,29.89296636,4.12,230
Najran,17.5656036,44.2289441,Najran Province,Saudi Arabia,10.9,75,25,75,1.09,189
Vientiane,17.9757058,102.6331035,Vientiane Prefecture,Laos,8.1,23.48484848,73.33333333,26.66666667,0.81,323
Nouakchott,18.0735299,-15.9582372,,Mauritania,57.1,43.75,37.5,62.5,5.71,281
Santo Domingo,18.4860575,-69.9312117,,Dominican Republic,61.7,32.54716981,70.28301887,29.71698113,6.17,180
Pune,18.5204303,73.8567437,Maharashtra,India,28.8,39.10788382,71.86147186,28.13852814,2.88,285
Port-au-Prince,18.594395,-72.3074326,Ouest,Haiti,51.4,12.5,68.75,31.25,5.14,100
Mumbai,19.0759837,72.8776559,Maharashtra,India,36,25.16025641,75.32537961,24.67462039,3.6,260
Mexico City,19.4326077,-99.133208,,Mexico,56.6,18.07909605,69.59064327,30.40935673,5.66,20
Guadalajara,20.6596988,-103.3496092,Jalisco,Mexico,56.6,43.07692308,64.54545455,35.45454545,5.66,300
Valladolid,20.68964,-88.2022488,Castile and Leon,Spain,21.1,70,41.66666667,58.33333333,2.11,96
Merida,20.9673702,-89.5925857,Merida State,Venezuela,26.8,75,25,75,2.68,182
Jalgaon,21.0076578,75.5626039,Maharashtra,India,45.2,33.75,54.6875,45.3125,4.52,282
Hanoi,21.0277644,105.8341598,,Vietnam,19.9,15.70247934,77.35042735,22.64957265,1.99,310
Nagpur,21.1458004,79.0881546,Maharashtra,India,10.3,46.61016949,69.44444444,30.55555556,1.03,140
Cancun,21.161908,-86.8515279,Quintana Roo,Mexico,72,75,55,45,7.2,120
Surat,21.1702401,72.8310607,Gujarat,India,63.6,46.3592233,61.96808511,38.03191489,6.36,220
Honolulu,21.3069444,-157.8583333,Hawaii,United States of America,41.2,74.58333333,41.51785714,58.48214286,4.12,50
Mecca,21.3890824,39.8579118,Mecca Province,Saudi Arabia,18.4,28.57142857,40.625,59.375,1.84,36
Maoming,21.6632899,110.92523,Guangdong,People's Republic of China,14.4,25,50,50,1.44,76
Rajkot,22.3038945,70.8021599,Gujarat,India,62,43.60465116,58.10810811,41.89189189,6.2,251
Vadodara,22.3071588,73.1812187,Gujarat,India,51.4,43.45794393,65.90909091,34.09090909,5.14,238
Jamnagar,22.4707019,70.05773,Gujarat,India,64.3,34.48275862,58.33333333,41.66666667,6.43,244
Shenzhen,22.5428599,114.05956,Guangdong,People's Republic of China,4.5,44.87179487,67.01388889,32.98611111,0.45,223
Kolkata,22.572646,88.363895,West Bengal,India,61.7,25.93457944,68.26923077,31.73076923,6.17,180
Foshan,23.0218499,113.12192,Guangdong,People's Republic of China,9.7,28.57142857,50,50,0.97,346
Ahmedabad,23.022505,72.5713621,Gujarat,India,30.9,32.96296296,66.9921875,33.0078125,3.09,220
Havana,23.1135925,-82.3665956,Havana Province,Cuba,46.3,46.66666667,50,50,4.63,200
Guangzhou,23.1290799,113.26436,Guangdong,People's Republic of China,7.7,29.32692308,68.47826087,31.52173913,0.77,27
Gandhinagar,23.2156354,72.6369415,Gujarat,India,30.9,87.90322581,50,50,3.09,220
Durgapur,23.5204443,87.3119227,West Bengal,India,60.1,12.5,50,50,6.01,171
Jieyang,23.5497199,116.37271,Guangdong,People's Republic of China,7.6,12.5,50,50,0.76,84
Muscat,23.5880307,58.3828717,Muscat Governorate,Oman,15.4,65.57377049,31.73076923,68.26923077,1.54,330
