City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution
Medan,3.5951956,98.6722227,North Sumatra,Indonesia,Medan North Sumatra Indonesia ,20.8333333333,43.3333333333
Binjai,3.6135482,98.5025286,North Sumatra,Indonesia,Binjai North Sumatra Indonesia ,75,0
Malabo,3.7549606,8.7821344,,Equatorial Guinea,Malabo  Equatorial Guinea ,70,35
Yaounde,3.8480325,11.5020752,Centre,Cameroon,Yaounde Centre Cameroon ,14.0625,88.6363636364
Male,4.1754959,73.5093474,Kaafu Atoll,Maldives,Male Kaafu Atoll Maldives ,35.5769230769,87.5
Bangui,4.3946735,18.5581899,,Central African Republic,Bangui  Central African Republic ,0,100
Bogota,4.7109886,-74.072092,,Colombia,Bogota  Colombia ,23.3502538071,48.1578947368
Juba,4.859363,31.57125,,South Sudan,Juba  South Sudan ,62.5,75
Bandar Seri Begawan,4.9030522,114.939821,Brunei-Muara District,Brunei,Bandar Seri Begawan Brunei-Muara District Brunei ,82.9545454545,48.8636363636
Abidjan,5.3599517,-4.0082563,,Cote d'Ivoire,Abidjan  Cote d'Ivoire ,6.9444444444,79.4117647059
Banda Aceh,5.5482904,95.3237559,Aceh,Indonesia,Banda Aceh Aceh Indonesia ,71.4285714286,12.5
Accra,5.6037168,-0.1869644,Greater Accra Region,Ghana,Accra Greater Accra Region Ghana ,20.5555555556,90.7894736842
Paramaribo,5.8520355,-55.2038278,Paramaribo District,Suriname,Paramaribo Paramaribo District Suriname ,61.3636363636,54.5454545455
Lome,6.1256261,1.2254183,Maritime,Togo,Lome Maritime Togo ,37.5,75
Monrovia,6.3156068,-10.8073698,Montserrado County,Liberia,Monrovia Montserrado County Liberia ,16.6666666667,87.5
Lagos,6.5243793,3.3792057,Lagos,Nigeria,Lagos Lagos Nigeria ,20.6081081081,80.5147058824
Sri Jayawardenepura Kotte,6.8867616,79.9187142,Western Province,Sri Lanka,Sri Jayawardenepura Kotte Western Province Sri Lanka ,75,75
Colombo,6.9270786,79.861243,Western Province,Sri Lanka,Colombo Western Province Sri Lanka ,45.1327433628,62.7314814815
Majuro,7.066667,171.266667,,Marshall Islands,Majuro  Marshall Islands ,43.75,91.6666666667
Ciudad Bolivar,8.0882791,-63.5535552,Bolivar,Venezuela,Ciudad Bolivar Bolivar Venezuela ,100,50
Cagayan de Oro,8.4542363,124.6318977,,Philippines,Cagayan de Oro  Philippines ,62.5,100
Freetown,8.4656765,-13.2317225,Western Area,Sierra Leone,Freetown Western Area Sierra Leone ,25,100
Thoothukudi,8.7641661,78.1348361,Tamil Nadu,India,Thoothukudi Tamil Nadu India ,50,50
Butuan,8.9475377,125.5406234,,Philippines,Butuan  Philippines ,37.5,66.6666666667
Addis Ababa,8.9806034,38.7577605,,Ethiopia,Addis Ababa  Ethiopia ,32.2727272727,69.5454545455
Abuja,9.0764785,7.398574,Federal Capital Territory,Nigeria,Abuja Federal Capital Territory Nigeria ,56.25,71.4285714286
Conakry,9.6411855,-13.5784012,,Guinea,Conakry  Guinea ,5,93.75
Kochi,9.9312328,76.2673041,Kerala,India,Kochi Kerala India ,36.5625,68.4027777778
Heredia,9.9981413,-84.1197643,Heredia Province,Costa Rica,Heredia Heredia Province Costa Rica ,35.7142857143,50
Alajuela,10.0159394,-84.2141701,Alajuela Province,Costa Rica,Alajuela Alajuela Province Costa Rica ,55,50
Barquisimeto,10.0677719,-69.3473509,Lara,Venezuela,Barquisimeto Lara Venezuela ,25,100
Caracas,10.4805937,-66.9036063,Capital District,Venezuela,Caracas Capital District Venezuela ,43.359375,69.0677966102
Port of Spain,10.6603196,-61.5085625,,Trinidad and Tobago,Port of Spain  Trinidad and Tobago ,37.5,69.7916666667
Bacolod,10.6840053,122.9563021,Western Visayas,Philippines,Bacolod Western Visayas Philippines ,39.2857142857,75
Trinidad,10.691803,-61.222503,Beni Department,Bolivia,Trinidad Beni Department Bolivia ,75,50
Ho Chi Minh City,10.8230989,106.6296638,,Vietnam,Ho Chi Minh City  Vietnam ,12.2191011236,77.761627907
Coimbatore,11.0168445,76.9558321,Tamil Nadu,India,Coimbatore Tamil Nadu India ,50,65.7407407407
Tacloban,11.2543388,124.9616867,,Philippines,Tacloban  Philippines ,75,70
Kozhikode,11.2587531,75.78041,Kerala,India,Kozhikode Kerala India ,57.2580645161,70.2380952381
Erode,11.3410364,77.7171642,Tamil Nadu,India,Erode Tamil Nadu India ,50,61.1111111111
Phnom Penh,11.5563738,104.9282099,,Cambodia,Phnom Penh  Cambodia ,26.0638297872,70.8333333333
Djibouti,11.825138,42.590275,Djibouti Region,Djibouti,Djibouti Djibouti Region Djibouti ,54.1666666667,54.1666666667
