City,Longitude,Latitude,Region,Country,AirQuality,WaterPollution
Rabat,33.9715904,-6.8498129,Rabat-Sale-Kenitra,Morocco,68.3333333333,31.7307692308
Los Angeles,34.0522342,-118.2436849,California,United States of America,36.6216216216,61.2994350282
Los Angeles,34.0522342,-118.2436849,Biobio Region,Chile,12.5,50
Xi'an,34.2658138,108.9540936,Shaanxi,People's Republic of China,5.9523809524,72.0588235294
San Fernando,34.2819461,-118.4389719,Ilocos Region,Philippines,37.5,87.5
Hiroshima,34.3852894,132.4553055,Hiroshima Prefecture,Japan,79.1666666667,25
Kabul,34.5553494,69.207486,Kabul,Afghanistan,18.4210526316,81.0606060606
Osaka,34.6937249,135.5022535,Osaka Prefecture,Japan,51.4705882353,55.3571428571
Little Rock,34.7444618,-92.2880157,Arkansas,United States of America,89.2857142857,22.0588235294
Zhengzhou,34.7472499,113.62493,Henan,People's Republic of China,2.6315789474,68.3333333333
Yeosu,34.7603737,127.6622221,South Jeolla,South Korea,25,50
Hamadan,34.7988575,48.5150225,Hamadan Province,Iran,39.2857142857,37.5
Mokpo,34.8118351,126.3921664,South Jeolla,South Korea,37.5,50
Geoje,34.8806427,128.6210824,South Gyeongsang,South Korea,37.5,50
Gwangyang,34.9406968,127.6958882,South Jeolla,South Korea,0,100
Kyoto,35.011564,135.7681489,Kyoto Prefecture,Japan,64.7727272727,28.3333333333
Albuquerque,35.0843859,-106.650422,New Mexico,United States of America,83.3333333333,39.7058823529
